N = 64, model_type = GRU, Adaptive Run
[-3.67085755+2.8328969j  -2.51517908+2.29449068j -3.5531093 -2.04256248j
 -3.77397358-3.11364689j -4.38613935+2.32614694j]
Step = 5, Energy = -5.896081+1.586523j, Var = 61.151748
Step = 10, Energy = -8.883105-0.983662j, Var = 100.903085
Step = 15, Energy = -11.088934-0.047977j, Var = 44.463678
Step = 20, Energy = -13.253917+0.054385j, Var = 47.655822
Step = 25, Energy = -14.985407+0.234433j, Var = 39.748369
Step = 30, Energy = -15.382664+0.305491j, Var = 45.840231
Step = 35, Energy = -16.569628+0.317004j, Var = 48.796342
Step = 40, Energy = -18.275082+0.745534j, Var = 78.284694
Step = 45, Energy = -17.174186+0.679630j, Var = 59.145334
Step = 50, Energy = -16.757631+0.276433j, Var = 50.768264
Step = 55, Energy = -16.136397+0.089826j, Var = 47.479961
Step = 60, Energy = -17.657369+0.463868j, Var = 53.791385
Step = 65, Energy = -19.362516+0.479846j, Var = 119.145155
Step = 70, Energy = -18.379392-0.214926j, Var = 59.226843
Step = 75, Energy = -17.211026-0.592690j, Var = 50.481583
Step = 80, Energy = -17.704047-0.024753j, Var = 64.068509
Step = 85, Energy = -19.213099-0.840286j, Var = 81.315122
Step = 90, Energy = -18.286797-0.663581j, Var = 59.709851
Step = 95, Energy = -17.936674-0.402415j, Var = 49.589980
Step = 100, Energy = -19.669420+0.900129j, Var = 70.857827
Step = 105, Energy = -19.207810-0.283605j, Var = 68.103594
Step = 110, Energy = -18.099970+0.062291j, Var = 58.214905
Step = 115, Energy = -19.595153-0.111612j, Var = 78.882823
Step = 120, Energy = -18.867141-0.020288j, Var = 59.798312
Step = 125, Energy = -20.165702-0.477910j, Var = 99.092417
Step = 130, Energy = -19.271912+0.126689j, Var = 57.489610
Step = 135, Energy = -19.367727-0.502723j, Var = 49.634709
Step = 140, Energy = -19.012316-0.418989j, Var = 44.191120
Step = 145, Energy = -19.947750-0.185379j, Var = 51.400750
Step = 150, Energy = -19.749722+0.000314j, Var = 68.997364
Step = 155, Energy = -19.405648-0.062886j, Var = 58.073684
Step = 160, Energy = -19.987338+0.161928j, Var = 47.754134
Step = 165, Energy = -20.747690-0.038205j, Var = 48.020489
Step = 170, Energy = -19.339133-0.139707j, Var = 63.779939
Step = 175, Energy = -19.755178+0.674191j, Var = 39.378996
Step = 180, Energy = -21.369928+0.019049j, Var = 65.962291
Step = 185, Energy = -21.181937-0.303719j, Var = 53.234908
Step = 190, Energy = -20.478479-0.662637j, Var = 43.614797
Step = 195, Energy = -21.400774+0.217551j, Var = 60.647864
Step = 200, Energy = -20.814868+0.018180j, Var = 65.836026
Step = 205, Energy = -20.403062-0.427703j, Var = 39.266317
Step = 210, Energy = -20.293769+0.346018j, Var = 52.533525
Step = 215, Energy = -21.800934+0.033226j, Var = 50.417335
Step = 220, Energy = -21.199851+0.153551j, Var = 53.895062
Step = 225, Energy = -20.999164-0.481052j, Var = 54.848357
Step = 230, Energy = -21.547658+0.369233j, Var = 56.902066
Step = 235, Energy = -21.168327-0.177882j, Var = 48.872865
Step = 240, Energy = -20.588391-0.620599j, Var = 40.237123
Step = 245, Energy = -22.875733+0.477542j, Var = 65.625258
Step = 250, Energy = -21.749261-0.386231j, Var = 81.468518
Step = 255, Energy = -21.693925+0.707556j, Var = 50.460888
Step = 260, Energy = -21.155961+0.168861j, Var = 45.886255
Step = 265, Energy = -22.098688+0.487442j, Var = 42.927175
Step = 270, Energy = -20.410365+0.076067j, Var = 48.900752
Step = 275, Energy = -22.048500-0.107923j, Var = 49.246382
Step = 280, Energy = -22.105564-0.081106j, Var = 49.076165
Step = 285, Energy = -22.426946-0.465843j, Var = 52.217600
Step = 290, Energy = -22.654009+0.296102j, Var = 63.683329
Step = 295, Energy = -21.732734+0.373844j, Var = 58.896260
Step = 300, Energy = -21.963191+0.203956j, Var = 44.344307
Step = 305, Energy = -23.111529+0.008977j, Var = 74.437872
Step = 310, Energy = -22.539373-1.036306j, Var = 57.953625
Step = 315, Energy = -22.115193-0.067408j, Var = 54.579460
Step = 320, Energy = -22.307750+0.587178j, Var = 45.915741
Step = 325, Energy = -22.415285-0.565074j, Var = 54.077344
Step = 330, Energy = -22.931927+0.334511j, Var = 51.484433
Step = 335, Energy = -23.237590-0.449555j, Var = 62.961740
Step = 340, Energy = -22.193412-0.145956j, Var = 54.348878
Step = 345, Energy = -22.735703-0.420447j, Var = 49.765845
Step = 350, Energy = -23.373667+0.765416j, Var = 53.825934
Step = 355, Energy = -22.760818-0.035261j, Var = 45.814294
Step = 360, Energy = -22.920034-0.446388j, Var = 45.970909
Step = 365, Energy = -22.934845+0.619540j, Var = 39.974484
Step = 370, Energy = -23.650704+0.250099j, Var = 61.389103
Step = 375, Energy = -24.011946-0.180827j, Var = 43.453622
Step = 380, Energy = -23.477838+0.073503j, Var = 43.037543
Step = 385, Energy = -24.405227+0.611925j, Var = 59.949813
Step = 390, Energy = -23.223479-0.716510j, Var = 56.621202
Step = 395, Energy = -23.829815+0.288543j, Var = 78.837011
Step = 400, Energy = -24.228171+0.333301j, Var = 51.186598
Step = 405, Energy = -24.271519+0.784510j, Var = 37.973537
Step = 410, Energy = -24.295870-0.267501j, Var = 55.157336
Step = 415, Energy = -23.213470+1.202505j, Var = 51.608436
Step = 420, Energy = -23.306239+0.625365j, Var = 46.748951
Step = 425, Energy = -25.051242+0.584456j, Var = 71.020795
Step = 430, Energy = -24.607420-0.101597j, Var = 48.118884
Step = 435, Energy = -23.157621-0.003923j, Var = 32.077418
Step = 440, Energy = -23.573731+0.258611j, Var = 41.872115
