N = 64, model_type = GRU
Step = 5, Energy = -11.254217+1.150699j, Var = 65.514796, Loss = 12.550838
Step = 10, Energy = -17.866127-0.278808j, Var = 66.650596, Loss = -9.062930
Step = 15, Energy = -18.720128+0.043898j, Var = 60.116675, Loss = -11.503614
Step = 20, Energy = -19.139901+0.642199j, Var = 52.346890, Loss = 3.115771
Step = 25, Energy = -18.813782+0.268153j, Var = 57.345094, Loss = -54.435786
Step = 30, Energy = -22.317726-0.285778j, Var = 59.474428, Loss = -21.491391
Step = 35, Energy = -25.409494+0.433754j, Var = 46.991140, Loss = -5.054641
Step = 40, Energy = -26.580009+0.620089j, Var = 43.224894, Loss = 14.097815
Step = 45, Energy = -26.573811+0.512454j, Var = 40.424769, Loss = -36.298275
Step = 50, Energy = -26.980816+0.274424j, Var = 34.618489, Loss = 32.013585
Step = 55, Energy = -27.316998-0.008287j, Var = 43.455634, Loss = -21.335157
Step = 60, Energy = -28.556970-0.486957j, Var = 27.895695, Loss = 20.183947
Step = 65, Energy = -29.297682+0.168764j, Var = 47.091495, Loss = -17.235600
Step = 70, Energy = -29.625644+0.134100j, Var = 24.560902, Loss = -11.927740
Step = 75, Energy = -31.012096-0.525313j, Var = 34.944475, Loss = -12.532046
Step = 80, Energy = -30.654198+0.366900j, Var = 42.344247, Loss = 1.841992
Step = 85, Energy = -31.347381+0.275082j, Var = 31.400068, Loss = -6.107989
Step = 90, Energy = -31.136344+0.637629j, Var = 55.035824, Loss = 10.022901
Step = 95, Energy = -31.226184-0.526807j, Var = 21.677254, Loss = 35.479927
Step = 100, Energy = -31.097430+0.231374j, Var = 58.657040, Loss = -24.564064
Step = 105, Energy = -32.025217-0.266379j, Var = 21.385126, Loss = 11.514990
Step = 110, Energy = -32.430118-0.635983j, Var = 18.342736, Loss = -16.969448
Step = 115, Energy = -31.552003+0.436705j, Var = 23.232384, Loss = 23.617589
Step = 120, Energy = -31.636674+0.778803j, Var = 35.861562, Loss = 21.313794
Step = 125, Energy = -32.300663+0.056898j, Var = 76.756034, Loss = -27.846758
Step = 130, Energy = -31.307365+0.062962j, Var = 21.131877, Loss = 9.337528
Step = 135, Energy = -31.431434-0.624925j, Var = 27.249303, Loss = -40.455753
Step = 140, Energy = -32.462130-0.286575j, Var = 15.344022, Loss = 26.502506
Step = 145, Energy = -32.554918-0.138476j, Var = 22.808117, Loss = 0.262034
Step = 150, Energy = -32.567454-0.489665j, Var = 31.997602, Loss = 19.565149
Step = 155, Energy = -33.208496-0.385943j, Var = 56.999131, Loss = -6.085568
Step = 160, Energy = -32.656830-0.115914j, Var = 34.505131, Loss = -13.934098
Step = 165, Energy = -32.764737+0.145952j, Var = 44.916988, Loss = 2.955520
Step = 170, Energy = -33.062634+0.201066j, Var = 39.392085, Loss = -6.157242
Step = 175, Energy = -33.786117-0.110100j, Var = 36.448675, Loss = 4.821142
Step = 180, Energy = -33.764658-0.145595j, Var = 37.249632, Loss = 9.437848
Step = 185, Energy = -33.722406-0.025081j, Var = 27.268605, Loss = -4.802430
Step = 190, Energy = -33.275201-0.131481j, Var = 30.208878, Loss = -4.858680
Step = 195, Energy = -33.981864+0.147228j, Var = 48.391908, Loss = 12.276223
Step = 200, Energy = -33.713109+0.256194j, Var = 33.605013, Loss = -16.870040
Step = 205, Energy = -34.135207+0.525214j, Var = 46.966047, Loss = 48.769759
Step = 210, Energy = -35.438420+0.065681j, Var = 42.192346, Loss = -5.289485
Step = 215, Energy = -35.716021-0.034663j, Var = 37.459329, Loss = -1.681881
Step = 220, Energy = -35.348216+0.062031j, Var = 41.560150, Loss = 24.698184
Step = 225, Energy = -36.885383+0.034723j, Var = 44.453220, Loss = -22.272607
Step = 230, Energy = -36.875861-0.149046j, Var = 40.425545, Loss = 7.891163
Step = 235, Energy = -37.834447-0.038656j, Var = 37.502262, Loss = -4.622193
Step = 240, Energy = -38.946597-0.135767j, Var = 55.627383, Loss = -1.607283
Step = 245, Energy = -38.419163+0.529596j, Var = 47.042055, Loss = 61.405331
